Title,Milestone,Label,Start Date,Target Date,Priority,Blocked By,Description
Register Nomis/ONS API credentials,Prototype Ingestion,credentials,2026-02-24,2026-03-07,Critical,,"Register for NOMIS API key and verify ONS Open Data access. Blocks all Nomis/ONS extract tasks."
Register DWP Stat-Xplore API credentials,Prototype Ingestion,credentials,2026-02-24,2026-03-07,Critical,,"Register for DWP Stat-Xplore API key. Blocks claimant count extract task."
Implement build_metadata_record(),Shared Infrastructure,utils,2026-02-24,2026-02-28,High,,"Implement utils/metadata.py — construct unpersisted DatasetMetadata ORM instance. Used by every load task."
Implement get_geo_lookup() and lsoa_to_lad(),Shared Infrastructure,utils,2026-02-24,2026-03-03,High,,"Implement utils/geo_lookups.py — LRU-cached ONS geography lookup from GeoLookup table. Required by transform/geo.py."
Run first Alembic migration on dev DB,Shared Infrastructure,database,2026-02-24,2026-02-28,High,,"Run alembic upgrade head against dev SQL Server to create Indicator + DatasetMetadata + GeoLookup tables."
Populate GeoLookup table,Shared Infrastructure,database,2026-03-03,2026-03-07,High,Run first Alembic migration on dev DB,"Seed GeoLookup with LSOA→MSOA→LAD→Region mappings from ONS Open Geography Portal for all 22 Yorkshire LADs."
Implement validate_schema() and validate_yorkshire_lads(),Shared Infrastructure,transform,2026-03-03,2026-03-07,High,,"Implement tasks/transform/validate.py — schema validation (required columns + non-zero rows) and LAD code validation against YORKSHIRE_LAD_CODES."
Implement normalise_to_indicator(),Shared Infrastructure,transform,2026-03-03,2026-03-07,High,,"Implement tasks/transform/normalise.py — map source-specific DataFrames to canonical Indicator schema (indicator_id, lad_code, reference_period, value, unit, source)."
Implement aggregate_to_lad(),Shared Infrastructure,transform,2026-03-07,2026-03-12,High,"Implement get_geo_lookup() and lsoa_to_lad()","Implement tasks/transform/geo.py — aggregate sub-LAD data (LSOA/MSOA) up to LAD level using GeoLookup joins."
Implement upsert_indicators() and write_metadata(),Shared Infrastructure,load,2026-03-07,2026-03-14,High,"Implement build_metadata_record()","Implement tasks/load/sql_server.py — upsert via MERGE or DELETE+INSERT on (indicator_id, lad_code, reference_period) key; write DatasetMetadata audit records."
